"No.","Time","Source","Destination","Protocol","Length","Info"
"9547","86.626940","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9548","86.634131","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9549","86.643138","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9550","86.648907","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9551","86.659237","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9552","86.665063","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9553","86.672983","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9554","86.682170","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9555","86.688827","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9556","86.695540","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9557","86.707159","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9558","86.710587","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9559","86.719031","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9560","86.721235","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9561","86.724804","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9562","86.728356","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9563","86.733040","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9564","86.745214","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9565","86.748510","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9566","86.761046","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9567","86.763740","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9568","86.770054","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9569","86.783045","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9570","86.786556","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9571","86.790039","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9572","86.796541","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9573","86.803520","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9574","86.811897","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9575","86.822215","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
